advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/bmw/530/hcbeo.html,https://i.ss.lv/gallery/6/1124/280935/56186819.th2.jpg,Bmw530,2011,3.0,D,256000,11900
/msg/lv/transport/cars/audi/a3/bglehn.html,https://i.ss.lv/gallery/7/1312/327982/65596279.th2.jpg,AudiA3,2001,1.9,D,369000,1450
/msg/lv/transport/cars/mazda/mazda5/bcdjdi.html,https://i.ss.lv/gallery/7/1297/324019/64803795.th2.jpg,MazdaMazda5,2013,1.6,D,190000,6590
/msg/lv/transport/cars/bmw/530/efhel.html,https://i.ss.lv/gallery/6/1124/280892/56178387.th2.jpg,Bmw530,2015,3.0,D,207000,12900
/msg/lv/transport/cars/bmw/530/cglbo.html,https://i.ss.lv/gallery/6/1126/281256/56251149.th2.jpg,Bmw530,2013,3.0,D,261000,14950
/msg/lv/transport/cars/ford/mondeo/eomel.html,https://i.ss.lv/gallery/7/1297/324018/64803569.th2.jpg,FordMondeo,2015,1.6,D,149000,7990
/msg/lv/transport/cars/ford/focusc-max/bddelb.html,https://i.ss.lv/gallery/7/1286/321365/64272900.th2.jpg,FordC-Max,2018,1.5,,68000,10290
/msg/lv/transport/cars/bmw/550/cbbggc.html,https://i.ss.lv/gallery/6/1106/276284/55256777.th2.jpg,Bmw550,2012,3.0,D,135000,17500
/msg/lv/transport/cars/opel/meriva/mlcck.html,https://i.ss.lv/gallery/6/1187/296621/59324128.th2.jpg,OpelMeriva,2014,1.6,D,189000,5990
/msg/lv/transport/cars/skoda/kodiaq/cdednp.html,https://i.ss.lv/gallery/7/1312/327971/65594099.th2.jpg,SkodaKodiaq,2020,2.0,D,93000,29900
/msg/lv/transport/cars/volvo/v50/bgmocg.html,https://i.ss.lv/gallery/7/1298/324266/64853102.th2.jpg,VolvoV50,2012,1.6,D,,5550
/msg/lv/transport/cars/opel/zafira/gomcf.html,https://i.ss.lv/gallery/7/1297/324005/64800827.th2.jpg,OpelZafira,2014,2.0,D,236000,7650
